===========================================================================
  DDPG — EmptyGridEnv
  obs_dim=125  act_dim=2  device=cpu
  epochs=100  steps/epoch=4000  total=400,000
  start_steps=5000  update_after=1000  batch=256
  γ=0.98  ρ=0.995  σ_noise=0.1
===========================================================================
  Epoch |   Steps |   Time |   TrRet |  TrLen | TrSucc | EvSucc |  CrLoss |  AcLoss
  -------------------------------------------------------------------------
      1 |   4,000 |  13.9s | -13.445 |  476.6 |  0.250 |  0.000 |  0.0058 | -0.4676
      2 |   8,000 |  32.9s |  -3.772 |  397.9 |  0.300 |  0.000 |  0.0058 | -1.2010
      3 |  12,000 |  52.0s |  -1.617 |  465.6 |  0.125 |  0.300 |  0.0032 | -1.9116
      4 |  16,000 |  70.9s |  +1.456 |  333.1 |  0.538 |  0.200 |  0.0028 | -2.1414
      5 |  20,000 |  89.8s |  +1.547 |  342.9 |  0.545 |  0.100 |  0.0029 | -2.1309
      6 |  24,000 | 108.9s |  -0.105 |  422.7 |  0.200 |  0.100 |  0.0033 | -1.9821
      7 |  28,000 | 127.9s |  -0.052 |  365.5 |  0.500 |  0.100 |  0.0026 | -2.0604
      8 |  32,000 | 147.0s |  +1.463 |  260.5 |  0.647 |  0.200 |  0.0023 | -2.0694
      9 |  36,000 | 166.0s |  +1.445 |  164.5 |  0.792 |  0.300 |  0.0020 | -2.0144
     10 |  40,000 | 184.8s |  +1.012 |  219.9 |  0.647 |  0.300 |  0.0017 | -1.8694
     11 |  44,000 | 203.8s |  +1.438 |  271.6 |  0.562 |  0.400 |  0.0016 | -1.7920
     12 |  48,000 | 222.6s |  +0.965 |  255.0 |  0.600 |  0.100 |  0.0013 | -1.6582
     13 |  52,000 | 241.6s |  +1.489 |  231.4 |  0.647 |  0.300 |  0.0011 | -1.5193
     14 |  56,000 | 260.5s |  +1.637 |  202.8 |  0.762 |  0.400 |  0.0010 | -1.4335
     15 |  60,000 | 279.3s |  +1.242 |  180.6 |  0.714 |  0.400 |  0.0011 | -1.4454
     16 |  64,000 | 298.1s |  +0.760 |  197.2 |  0.650 |  0.500 |  0.0009 | -1.4226
     17 |  68,000 | 318.4s |  +1.802 |  146.9 |  0.862 |  0.700 |  0.0009 | -1.3747
     18 |  72,000 | 337.0s |  +1.886 |  121.6 |  0.879 |  0.800 |  0.0008 | -1.3562
     19 |  76,000 | 355.6s |  +0.682 |   55.0 |  0.969 |  0.600 |  0.0007 | -1.3197
     20 |  80,000 | 374.4s |  +1.922 |   54.1 |  0.938 |  0.500 |  0.0007 | -1.2781
     21 |  84,000 | 393.5s |  +1.721 |   48.6 |  1.000 |  0.400 |  0.0007 | -1.2536
     22 |  88,000 | 412.4s |  +1.819 |   28.5 |  0.992 |  1.000 |  0.0006 | -1.2524
     23 |  92,000 | 430.9s |  +1.992 |   21.5 |  0.990 |  0.800 |  0.0006 | -1.2498
     24 |  96,000 | 449.5s |  +2.008 |   20.4 |  1.000 |  0.800 |  0.0006 | -1.2472
     25 | 100,000 | 468.0s |  +2.036 |   13.9 |  1.000 |  0.800 |  0.0005 | -1.2583
     26 | 104,000 | 486.6s |  +2.005 |   12.6 |  1.000 |  0.800 |  0.0005 | -1.2595
     27 | 108,000 | 505.6s |  +2.040 |   12.8 |  1.000 |  1.000 |  0.0004 | -1.2526
     28 | 112,000 | 524.0s |  +2.037 |   12.2 |  1.000 |  1.000 |  0.0004 | -1.2582
     29 | 116,000 | 542.4s |  +2.055 |   11.7 |  1.000 |  0.900 |  0.0004 | -1.2633
     30 | 120,000 | 560.8s |  +2.049 |   12.2 |  1.000 |  1.000 |  0.0004 | -1.2691
     31 | 124,000 | 579.2s |  +2.019 |   11.2 |  1.000 |  1.000 |  0.0003 | -1.2753
     32 | 128,000 | 597.6s |  +1.872 |   12.4 |  1.000 |  1.000 |  0.0003 | -1.2757
     33 | 132,000 | 616.0s |  +2.000 |   10.8 |  1.000 |  1.000 |  0.0003 | -1.2809
     34 | 136,000 | 634.3s |  +2.002 |   10.7 |  1.000 |  1.000 |  0.0003 | -1.2858
     35 | 140,000 | 652.7s |  +2.007 |   10.5 |  1.000 |  0.900 |  0.0003 | -1.2948
     36 | 144,000 | 671.1s |  +2.035 |   10.8 |  1.000 |  1.000 |  0.0003 | -1.3026
     37 | 148,000 | 689.5s |  +2.013 |   10.6 |  1.000 |  1.000 |  0.0003 | -1.3114
     38 | 152,000 | 708.1s |  +2.037 |   10.6 |  1.000 |  0.900 |  0.0003 | -1.3200
     39 | 156,000 | 726.6s |  +2.014 |   10.5 |  1.000 |  1.000 |  0.0003 | -1.3265
     40 | 160,000 | 744.9s |  +2.040 |   10.6 |  1.000 |  0.900 |  0.0002 | -1.3357
     41 | 164,000 | 763.4s |  +2.018 |   10.4 |  1.000 |  0.900 |  0.0002 | -1.3464
     42 | 168,000 | 781.9s |  +1.992 |   10.1 |  1.000 |  1.000 |  0.0002 | -1.3557
     43 | 172,000 | 800.3s |  +2.043 |   10.5 |  1.000 |  1.000 |  0.0002 | -1.3660
     44 | 176,000 | 819.1s |  +2.005 |   10.3 |  1.000 |  1.000 |  0.0002 | -1.3772
