===========================================================================
  DDPG — FourRoomMazeEnv
  obs_dim=125  act_dim=2  device=cpu
  epochs=100  steps/epoch=4000  total=400,000
  start_steps=5000  update_after=1000  batch=256
  γ=0.98  ρ=0.995  σ_noise=0.1
===========================================================================
  Epoch |   Steps |   Time |   TrRet |  TrLen | TrSucc | EvSucc |  CrLoss |  AcLoss
  -------------------------------------------------------------------------
      1 |   4,000 |  13.9s | -19.925 |  436.7 |  0.222 |  0.000 |  0.0063 | -0.2724
      2 |   8,000 |  34.1s |  -5.695 |  500.0 |  0.000 |  0.000 |  0.0046 | -1.2504
      3 |  12,000 |  53.2s | -17.527 |  500.0 |  0.000 |  0.000 |  0.0060 | -1.7224
      4 |  16,000 |  72.5s |  -1.964 |  500.0 |  0.000 |  0.000 |  0.0053 | -2.4523
      5 |  20,000 |  92.2s |  -2.370 |  451.4 |  0.125 |  0.100 |  0.0047 | -2.3163
      6 |  24,000 | 112.4s |  -0.814 |  476.0 |  0.111 |  0.000 |  0.0057 | -2.2767
      7 |  28,000 | 131.6s | -18.910 |  500.0 |  0.000 |  0.200 |  0.0070 | -2.5720
      8 |  32,000 | 150.5s |  -4.508 |  500.0 |  0.000 |  0.000 |  0.0053 | -2.7580
      9 |  36,000 | 169.8s |  +0.025 |  500.0 |  0.000 |  0.000 |  0.0043 | -2.6782
     10 |  40,000 | 189.3s |  +0.114 |  500.0 |  0.000 |  0.000 |  0.0025 | -2.5009
     11 |  44,000 | 208.9s |  -1.337 |  500.0 |  0.000 |  0.000 |  0.0031 | -2.1545
     12 |  48,000 | 228.9s |  +0.226 |  454.0 |  0.111 |  0.000 |  0.0050 | -2.5522
     13 |  52,000 | 248.3s |  +0.106 |  500.0 |  0.000 |  0.000 |  0.0028 | -2.4646
     14 |  56,000 | 267.4s |  -0.861 |  446.4 |  0.111 |  0.000 |  0.0028 | -2.3492
     15 |  60,000 | 286.5s |  -1.622 |  500.0 |  0.000 |  0.000 |  0.0021 | -2.3676
     16 |  64,000 | 305.9s |  +0.020 |  500.0 |  0.000 |  0.000 |  0.0024 | -2.1733
     17 |  68,000 | 325.3s |  -2.618 |  500.0 |  0.000 |  0.000 |  0.0019 | -2.0619
     18 |  72,000 | 344.6s |  +0.079 |  500.0 |  0.000 |  0.000 |  0.0020 | -2.0207
     19 |  76,000 | 363.8s |  -0.754 |  447.0 |  0.111 |  0.000 |  0.0029 | -2.0763
     20 |  80,000 | 384.2s |  +0.001 |  500.0 |  0.000 |  0.000 |  0.0047 | -2.4898
     21 |  84,000 | 403.8s |  -2.576 |  500.0 |  0.000 |  0.000 |  0.0028 | -2.4878
     22 |  88,000 | 423.0s |  -0.392 |  500.0 |  0.000 |  0.000 |  0.0019 | -2.3652
     23 |  92,000 | 442.1s |  -5.428 |  500.0 |  0.000 |  0.000 |  0.0012 | -2.1961
     24 |  96,000 | 461.1s |  -6.915 |  500.0 |  0.000 |  0.000 |  0.0013 | -1.9090
     25 | 100,000 | 480.3s |  -0.667 |  500.0 |  0.000 |  0.000 |  0.0039 | -1.8918
     26 | 104,000 | 499.3s |  +0.008 |  500.0 |  0.000 |  0.100 |  0.0050 | -2.7258
     27 | 108,000 | 519.4s |  +0.382 |  500.0 |  0.000 |  0.000 |  0.0018 | -2.6494
     28 | 112,000 | 539.1s |  -2.574 |  500.0 |  0.000 |  0.000 |  0.0016 | -2.3407
     29 | 116,000 | 559.3s |  +0.071 |  449.3 |  0.111 |  0.100 |  0.0010 | -2.2444
     30 | 120,000 | 579.5s |  +0.346 |  440.2 |  0.125 |  0.000 |  0.0008 | -1.9522
     31 | 124,000 | 599.6s | -11.615 |  446.0 |  0.111 |  0.000 |  0.0010 | -1.7245
     32 | 128,000 | 619.0s |  -0.061 |  459.2 |  0.111 |  0.000 |  0.0007 | -1.6214
     33 | 132,000 | 638.5s |  -1.550 |  328.7 |  0.417 |  0.100 |  0.0007 | -1.5282
     34 | 136,000 | 657.4s |  +0.558 |  360.0 |  0.364 |  0.100 |  0.0007 | -1.5022
     35 | 140,000 | 676.3s |  -8.964 |  500.0 |  0.000 |  0.200 |  0.0006 | -1.4056
     36 | 144,000 | 695.7s |  +0.430 |  440.6 |  0.200 |  0.200 |  0.0005 | -1.3189
     37 | 148,000 | 714.6s |  -3.555 |  378.1 |  0.300 |  0.200 |  0.0005 | -1.2441
     38 | 152,000 | 733.6s |  +0.131 |  465.9 |  0.111 |  0.200 |  0.0006 | -1.2143
     39 | 156,000 | 752.4s |  -0.913 |  322.2 |  0.417 |  0.000 |  0.0006 | -1.2496
     40 | 160,000 | 771.3s |  -0.571 |  446.3 |  0.111 |  0.000 |  0.0007 | -1.3300
     41 | 164,000 | 791.0s |  +0.833 |  360.9 |  0.455 |  0.100 |  0.0006 | -1.2954
     42 | 168,000 | 810.0s |  +0.408 |  473.8 |  0.125 |  0.100 |  0.0005 | -1.2177
     43 | 172,000 | 828.9s |  +0.483 |  287.6 |  0.571 |  0.500 |  0.0005 | -1.1773
     44 | 176,000 | 847.8s |  +0.196 |  500.0 |  0.000 |  0.400 |  0.0005 | -1.1353
     45 | 180,000 | 866.5s |  -2.379 |  312.1 |  0.429 |  0.400 |  0.0005 | -1.1120
     46 | 184,000 | 885.2s |  +0.593 |  405.3 |  0.333 |  0.100 |  0.0005 | -1.0843
     47 | 188,000 | 904.1s |  -3.732 |  259.1 |  0.688 |  0.300 |  0.0005 | -1.0889
     48 | 192,000 | 922.9s |  -2.025 |  314.6 |  0.417 |  0.300 |  0.0005 | -1.0806
     49 | 196,000 | 942.1s |  -0.857 |  267.6 |  0.625 |  0.100 |  0.0005 | -1.0704
     50 | 200,000 | 961.4s |  +0.327 |  253.8 |  0.625 |  0.300 |  0.0005 | -1.0448
     51 | 204,000 | 980.5s |  +0.916 |  328.4 |  0.500 |  0.200 |  0.0005 | -1.0262
     52 | 208,000 | 999.3s |  +0.240 |  262.3 |  0.600 |  0.600 |  0.0005 | -1.0498
     53 | 212,000 | 1017.9s |  -5.006 |  211.4 |  0.737 |  0.200 |  0.0005 | -1.0277
     54 | 216,000 | 1036.7s |  -0.690 |  251.1 |  0.562 |  0.100 |  0.0005 | -1.0079
     55 | 220,000 | 1055.6s |  -2.122 |  289.2 |  0.538 |  0.600 |  0.0005 | -0.9886
     56 | 224,000 | 1074.1s |  -8.985 |  283.3 |  0.533 |  0.000 |  0.0006 | -0.9681
     57 | 228,000 | 1093.1s |  +1.021 |  297.5 |  0.538 |  0.100 |  0.0006 | -0.9763
     58 | 232,000 | 1111.9s |  +0.459 |  243.9 |  0.625 |  0.500 |  0.0005 | -0.9977
     59 | 236,000 | 1130.5s |  +0.084 |  307.2 |  0.429 |  0.600 |  0.0005 | -0.9878
